Country,Agro-ecological zones,Administrative areas,Agricultural practices,Crop,Scientific name,Botanical family,Other names,Additional Information,Planting period - onset,Planting period - end,Sowing / Planting rate,Sowing/Planting rate unit,Preferred sowing/planting period,Length of the cropping cycle,Harvesting period - onset,Harvesting period - end,Comments
Cameroon,Adamawa Plateau,"Divisions of Adamawa Region: Djérem, Faro and Déo, Mbéré, Mayo Banyo, Vina","Manual agriculture, with animal traction, monoculture on maize, fertilizer use on maize, mixed cultivation for the other food crops. Mechanized maize cultivation by specialized farmers. Cropping on burnt land.","Bean common, dry",Phaseolus vulgaris L.,Fabaceae,,,01/05,15/05,50-60,kg/ha,null-null,90-110 days,01/08,30/09,
Cameroon,Adamawa Plateau,"Divisions of Adamawa Region: Djérem, Faro and Déo, Mbéré, Mayo Banyo, Vina","Manual agriculture, with animal traction, monoculture on maize, fertilizer use on maize, mixed cultivation for the other food crops. Mechanized maize cultivation by specialized farmers. Cropping on burnt land.",Carrot,Daucus carota L.,Apiaceae,,,01/04,15/04,4,kg/ha,null-null,80-110 days,15/07,31/07,
Cameroon,Adamawa Plateau,"Divisions of Adamawa Region: Djérem, Faro and Déo, Mbéré, Mayo Banyo, Vina","Manual agriculture, with animal traction, monoculture on maize, fertilizer use on maize, mixed cultivation for the other food crops. Mechanized maize cultivation by specialized farmers. Cropping on burnt land.",Cassava,Manihot esculenta Crantz,Euphorbiaceae,Manioc,,01/04,31/05,"10,000-15,000",cuttings/ha,null-null,18-24 months,01/10,28/03,
Cameroon,Adamawa Plateau,"Divisions of Adamawa Region: Djérem, Faro and Déo, Mbéré, Mayo Banyo, Vina","Manual agriculture, with animal traction, monoculture on maize, fertilizer use on maize, mixed cultivation for the other food crops. Mechanized maize cultivation by specialized farmers. Cropping on burnt land.",Cucumber,Cucumis sativus L.,Cucurbitaceae,Gherkin,,01/05,30/06,0.5-0.6,kg/ha,null-null,70-90 days,01/08,30/03,
Cameroon,Adamawa Plateau,"Divisions of Adamawa Region: Djérem, Faro and Déo, Mbéré, Mayo Banyo, Vina","Manual agriculture, with animal traction, monoculture on maize, fertilizer use on maize, mixed cultivation for the other food crops. Mechanized maize cultivation by specialized farmers. Cropping on burnt land.",Groundnut,Arachis hypogaea L.,Fabaceae,Peanut,,15/04,15/05,50-60,kg/ha,null-null,100-120 days,01/09,30/10,
Cameroon,Adamawa Plateau,"Divisions of Adamawa Region: Djérem, Faro and Déo, Mbéré, Mayo Banyo, Vina","Manual agriculture, with animal traction, monoculture on maize, fertilizer use on maize, mixed cultivation for the other food crops. Mechanized maize cultivation by specialized farmers. Cropping on burnt land.",Kale,Brassica oleracea L.,Brassicaceae,,,01/04,15/04,0.5,kg/ha,null-null,100-125 days,15/07,31/07,
Cameroon,Adamawa Plateau,"Divisions of Adamawa Region: Djérem, Faro and Déo, Mbéré, Mayo Banyo, Vina","Manual agriculture, with animal traction, monoculture on maize, fertilizer use on maize, mixed cultivation for the other food crops. Mechanized maize cultivation by specialized farmers. Cropping on burnt land.",Maize,Zea mays L.,Poaceae,Corn,,01/04,31/07,20-25,kg/ha,null-null,120-130 days,01/10,30/11,
Cameroon,Adamawa Plateau,"Divisions of Adamawa Region: Djérem, Faro and Déo, Mbéré, Mayo Banyo, Vina","Manual agriculture, with animal traction, monoculture on maize, fertilizer use on maize, mixed cultivation for the other food crops. Mechanized maize cultivation by specialized farmers. Cropping on burnt land.",Melon,Cucumis melo L.,Cucurbitaceae,,,01/05,30/06,0.4-0.5,kg/ha,null-null,70-90 days,01/08,30/03,
Cameroon,Adamawa Plateau,"Divisions of Adamawa Region: Djérem, Faro and Déo, Mbéré, Mayo Banyo, Vina","Manual agriculture, with animal traction, monoculture on maize, fertilizer use on maize, mixed cultivation for the other food crops. Mechanized maize cultivation by specialized farmers. Cropping on burnt land.",Okra,Abelmoschus esculentus (L.) Moench,Malvaceae,Lady's-fingers,,01/05,30/06,0.4-0.5,kg/ha,null-null,60-70 days,15/07,30/03,
Cameroon,Adamawa Plateau,"Divisions of Adamawa Region: Djérem, Faro and Déo, Mbéré, Mayo Banyo, Vina","Manual agriculture, with animal traction, monoculture on maize, fertilizer use on maize, mixed cultivation for the other food crops. Mechanized maize cultivation by specialized farmers. Cropping on burnt land.",Potato,Solanum tuberosum L.,Solanaceae,,,15/03,30/04,"2,000-3,500",kg/ha,null-null,90-110 days,01/06,31/07,
