Country,Agro-ecological zones,Administrative areas,Agricultural practices,Crop,Scientific name,Botanical family,Other names,Additional Information,Planting period - onset,Planting period - end,Sowing / Planting rate,Sowing/Planting rate unit,Preferred sowing/planting period,Length of the cropping cycle,Harvesting period - onset,Harvesting period - end,Comments
Namibia,Zone 01,This zone covers the whole of Caprivi Region.,"Crop and livestock at subsistence level, there are also some GRN irrigation projects.",Bambara groundnut,Vigna subterranea L.  Verdc.,Papillonaceae,,,1-Oct,30-Nov,3-May,kg/ha,null-null,120-150 days,1-Mar,30-Apr,
Namibia,Zone 01,This zone covers the whole of Caprivi Region.,"Crop and livestock at subsistence level, there are also some GRN irrigation projects.","Cabbage, common",Brassica oleracea L. var. capitata,Brassicaceae,,,1-Apr,31-May,"30,000-40,000",seeds/ha,null-null,120-150 days,1-Aug,30-Sep,
Namibia,Zone 01,This zone covers the whole of Caprivi Region.,"Crop and livestock at subsistence level, there are also some GRN irrigation projects.",Carrot,Daucus carota L.,Apiaceae,,,1-Apr,31-May,2-3.5,kg/ha,null-null,120-150 days,1-Aug,30-Sep,
Namibia,Zone 01,This zone covers the whole of Caprivi Region.,"Crop and livestock at subsistence level, there are also some GRN irrigation projects.",Cassava,Manihot esculenta Crantz,Euphorbiaceae,Manioc,,1-Jan,31-Dec,,,null-null,120-150 days,1-Jan,31-Dec,
Namibia,Zone 01,This zone covers the whole of Caprivi Region.,"Crop and livestock at subsistence level, there are also some GRN irrigation projects.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,,1-Oct,30-Nov,3-May,kg/ha,null-null,120-150 days,1-Mar,30-Apr,
Namibia,Zone 01,This zone covers the whole of Caprivi Region.,"Crop and livestock at subsistence level, there are also some GRN irrigation projects.",Groundnut,Arachis hypogaea L.,Fabaceae,Peanut,,1-Oct,30-Nov,3-May,kg/ha,null-null,120-150 days,1-Mar,30-Apr,
Namibia,Zone 01,This zone covers the whole of Caprivi Region.,"Crop and livestock at subsistence level, there are also some GRN irrigation projects.",Maize,Zea mays L.,Poaceae,Corn,Main crop,1-Oct,31-Dec,5-Jun,kg/ha,null-null,150 days,1-Apr,30-Apr,
Namibia,Zone 01,This zone covers the whole of Caprivi Region.,"Crop and livestock at subsistence level, there are also some GRN irrigation projects.",Maize,Zea mays L.,Poaceae,Corn,Second crop,1-Jun,31-Aug,15-20,kg/ha,null-null,150 days,1-Nov,20-Dec,
Namibia,Zone 01,This zone covers the whole of Caprivi Region.,"Crop and livestock at subsistence level, there are also some GRN irrigation projects.",Melon,Cucumis melo L.,Cucurbitaceae,,Rainy season,1-Oct,30-Nov,1.5-2,kg/ha,null-null,120-150 days,1-Mar,30-Apr,
Namibia,Zone 01,This zone covers the whole of Caprivi Region.,"Crop and livestock at subsistence level, there are also some GRN irrigation projects.",Melon,Cucumis melo L.,Cucurbitaceae,,Winter season,1-Apr,31-May,1.5-2,kg/ha,null-null,120-150 days,1-Aug,30-Sep,
Namibia,Zone 01,This zone covers the whole of Caprivi Region.,"Crop and livestock at subsistence level, there are also some GRN irrigation projects.","Millet, pearl",Pennisetum glaucum (L.) R. Br.,Poaceae,"Millet, bajra;Millet, bulrush",,1-Nov,31-Dec,2-Apr,kg/ha,null-null,120-150 days,1-Apr,31-May,
Namibia,Zone 01,This zone covers the whole of Caprivi Region.,"Crop and livestock at subsistence level, there are also some GRN irrigation projects.",Onion,Allium cepa L.,Alliaceae,,,1-Apr,31-May,15-20,kg/ha,null-null,120-150 days,1-Aug,30-Sep,
Namibia,Zone 01,This zone covers the whole of Caprivi Region.,"Crop and livestock at subsistence level, there are also some GRN irrigation projects.",Pumpkin,Cucurbita pepo L.,Cucurbitaceae,Gourd,Rainy season,1-Oct,30-Nov,4-May,kg/ha,null-null,150-180 days,1-Apr,31-May,
Namibia,Zone 01,This zone covers the whole of Caprivi Region.,"Crop and livestock at subsistence level, there are also some GRN irrigation projects.",Pumpkin,Cucurbita pepo L.,Cucurbitaceae,Gourd,Winter season,1-Apr,31-May,4-May,kg/ha,null-null,120-150 days,1-Aug,30-Sep,
