Country,Agro-ecological zones,Administrative areas,Agricultural practices,Crop,Scientific name,Botanical family,Other names,Additional Information,Planting period - onset,Planting period - end,Sowing / Planting rate,Sowing/Planting rate unit,Preferred sowing/planting period,Length of the cropping cycle,Harvesting period - onset,Harvesting period - end,Comments
United Republic of Tanzania ,Central Plateaux (Plains),"Dodoma: Dodoma rural, Kondoa, Chamwino, Mpwapwa, Manyoni, and Bahi.Singida Singida rural, and Iramba. Manyara: Babati, Hanang and Mbulu. Mbeya: Chunya. Arusha: Karatu. Shinyanga: Bukombe, Kahama, Maswa, Shinyanga rural and Meatu. Tabora: Sikonge, Igunga, ","Main crops: sorghum, millets, groundnuts, sunflower, sweet potato, cassava, maize (early maturing and medium term), pigeon pea, hyacinth bean, passion fruit, cotton, sisal, castor, simsim, tea, coffee, Irish potatoes, common beans, grasses and legumes for livestock, grapes, rice, vegetables. Main farming/cropping system: sorghum/bulrush/millet/ Livestock/ maize/ bulrush millet/ cotton/ livestock. Other crops are: oil seeds and rice. Cotton/maize (other crops involved: sweet potato, sorghum and groundnut). Pastoralist/agropastoralist (with shifting cultivation of sorghum). Irrigation: traditional schemes operating with upgraded ones e.g. Lumuma. Major pests: any worms, locusts, rodents, large grain borer. Sources of seed: own saved and from stockists. Fertilizers recommended but used in small quantities.","Bean common, dry",Phaseolus vulgaris L.,Fabaceae,,,01/03,15/03,80-110,kg/ha,null-null,85-90 days,25/05,20/06,
United Republic of Tanzania ,Central Plateaux (Plains),"Dodoma: Dodoma rural, Kondoa, Chamwino, Mpwapwa, Manyoni, and Bahi.Singida Singida rural, and Iramba. Manyara: Babati, Hanang and Mbulu. Mbeya: Chunya. Arusha: Karatu. Shinyanga: Bukombe, Kahama, Maswa, Shinyanga rural and Meatu. Tabora: Sikonge, Igunga, ","Main crops: sorghum, millets, groundnuts, sunflower, sweet potato, cassava, maize (early maturing and medium term), pigeon pea, hyacinth bean, passion fruit, cotton, sisal, castor, simsim, tea, coffee, Irish potatoes, common beans, grasses and legumes for livestock, grapes, rice, vegetables. Main farming/cropping system: sorghum/bulrush/millet/ Livestock/ maize/ bulrush millet/ cotton/ livestock. Other crops are: oil seeds and rice. Cotton/maize (other crops involved: sweet potato, sorghum and groundnut). Pastoralist/agropastoralist (with shifting cultivation of sorghum). Irrigation: traditional schemes operating with upgraded ones e.g. Lumuma. Major pests: any worms, locusts, rodents, large grain borer. Sources of seed: own saved and from stockists. Fertilizers recommended but used in small quantities.","Cabbage, common",Brassica oleracea L. var. capitata,Brassicaceae,,,01/04,30/04,300,gr/ha,null-null,90-165 days,01/07,15/10,
United Republic of Tanzania ,Central Plateaux (Plains),"Dodoma: Dodoma rural, Kondoa, Chamwino, Mpwapwa, Manyoni, and Bahi.Singida Singida rural, and Iramba. Manyara: Babati, Hanang and Mbulu. Mbeya: Chunya. Arusha: Karatu. Shinyanga: Bukombe, Kahama, Maswa, Shinyanga rural and Meatu. Tabora: Sikonge, Igunga, ","Main crops: sorghum, millets, groundnuts, sunflower, sweet potato, cassava, maize (early maturing and medium term), pigeon pea, hyacinth bean, passion fruit, cotton, sisal, castor, simsim, tea, coffee, Irish potatoes, common beans, grasses and legumes for livestock, grapes, rice, vegetables. Main farming/cropping system: sorghum/bulrush/millet/ Livestock/ maize/ bulrush millet/ cotton/ livestock. Other crops are: oil seeds and rice. Cotton/maize (other crops involved: sweet potato, sorghum and groundnut). Pastoralist/agropastoralist (with shifting cultivation of sorghum). Irrigation: traditional schemes operating with upgraded ones e.g. Lumuma. Major pests: any worms, locusts, rodents, large grain borer. Sources of seed: own saved and from stockists. Fertilizers recommended but used in small quantities.",Cassava,Manihot esculenta Crantz,Euphorbiaceae,Manioc,,01/02,31/10,"10,000",cuttings/ha,null-null,240-360 days,01/09,30/09,
United Republic of Tanzania ,Central Plateaux (Plains),"Dodoma: Dodoma rural, Kondoa, Chamwino, Mpwapwa, Manyoni, and Bahi.Singida Singida rural, and Iramba. Manyara: Babati, Hanang and Mbulu. Mbeya: Chunya. Arusha: Karatu. Shinyanga: Bukombe, Kahama, Maswa, Shinyanga rural and Meatu. Tabora: Sikonge, Igunga, ","Main crops: sorghum, millets, groundnuts, sunflower, sweet potato, cassava, maize (early maturing and medium term), pigeon pea, hyacinth bean, passion fruit, cotton, sisal, castor, simsim, tea, coffee, Irish potatoes, common beans, grasses and legumes for livestock, grapes, rice, vegetables. Main farming/cropping system: sorghum/bulrush/millet/ Livestock/ maize/ bulrush millet/ cotton/ livestock. Other crops are: oil seeds and rice. Cotton/maize (other crops involved: sweet potato, sorghum and groundnut). Pastoralist/agropastoralist (with shifting cultivation of sorghum). Irrigation: traditional schemes operating with upgraded ones e.g. Lumuma. Major pests: any worms, locusts, rodents, large grain borer. Sources of seed: own saved and from stockists. Fertilizers recommended but used in small quantities.",Cowpea,Vigna unguiculata (L.) Walp. subsp. unguiculata,Fabaceae,Black-eye pea,,01/02,31/03,38-50,kg/ha,null-null,64-102 days,05/05,10/07,
United Republic of Tanzania ,Central Plateaux (Plains),"Dodoma: Dodoma rural, Kondoa, Chamwino, Mpwapwa, Manyoni, and Bahi.Singida Singida rural, and Iramba. Manyara: Babati, Hanang and Mbulu. Mbeya: Chunya. Arusha: Karatu. Shinyanga: Bukombe, Kahama, Maswa, Shinyanga rural and Meatu. Tabora: Sikonge, Igunga, ","Main crops: sorghum, millets, groundnuts, sunflower, sweet potato, cassava, maize (early maturing and medium term), pigeon pea, hyacinth bean, passion fruit, cotton, sisal, castor, simsim, tea, coffee, Irish potatoes, common beans, grasses and legumes for livestock, grapes, rice, vegetables. Main farming/cropping system: sorghum/bulrush/millet/ Livestock/ maize/ bulrush millet/ cotton/ livestock. Other crops are: oil seeds and rice. Cotton/maize (other crops involved: sweet potato, sorghum and groundnut). Pastoralist/agropastoralist (with shifting cultivation of sorghum). Irrigation: traditional schemes operating with upgraded ones e.g. Lumuma. Major pests: any worms, locusts, rodents, large grain borer. Sources of seed: own saved and from stockists. Fertilizers recommended but used in small quantities.",Groundnut,Arachis hypogaea L.,Fabaceae,Peanut,,01/12,31/12,80-100,kg/ha,null-null,90-128 days,01/03,10/05,
United Republic of Tanzania ,Central Plateaux (Plains),"Dodoma: Dodoma rural, Kondoa, Chamwino, Mpwapwa, Manyoni, and Bahi.Singida Singida rural, and Iramba. Manyara: Babati, Hanang and Mbulu. Mbeya: Chunya. Arusha: Karatu. Shinyanga: Bukombe, Kahama, Maswa, Shinyanga rural and Meatu. Tabora: Sikonge, Igunga, ","Main crops: sorghum, millets, groundnuts, sunflower, sweet potato, cassava, maize (early maturing and medium term), pigeon pea, hyacinth bean, passion fruit, cotton, sisal, castor, simsim, tea, coffee, Irish potatoes, common beans, grasses and legumes for livestock, grapes, rice, vegetables. Main farming/cropping system: sorghum/bulrush/millet/ Livestock/ maize/ bulrush millet/ cotton/ livestock. Other crops are: oil seeds and rice. Cotton/maize (other crops involved: sweet potato, sorghum and groundnut). Pastoralist/agropastoralist (with shifting cultivation of sorghum). Irrigation: traditional schemes operating with upgraded ones e.g. Lumuma. Major pests: any worms, locusts, rodents, large grain borer. Sources of seed: own saved and from stockists. Fertilizers recommended but used in small quantities.",Maize,Zea mays L.,Poaceae,Corn,,01/11,31/12,25,kg/ha,null-null,90-180 days,01/02,30/06,
United Republic of Tanzania ,Central Plateaux (Plains),"Dodoma: Dodoma rural, Kondoa, Chamwino, Mpwapwa, Manyoni, and Bahi.Singida Singida rural, and Iramba. Manyara: Babati, Hanang and Mbulu. Mbeya: Chunya. Arusha: Karatu. Shinyanga: Bukombe, Kahama, Maswa, Shinyanga rural and Meatu. Tabora: Sikonge, Igunga, ","Main crops: sorghum, millets, groundnuts, sunflower, sweet potato, cassava, maize (early maturing and medium term), pigeon pea, hyacinth bean, passion fruit, cotton, sisal, castor, simsim, tea, coffee, Irish potatoes, common beans, grasses and legumes for livestock, grapes, rice, vegetables. Main farming/cropping system: sorghum/bulrush/millet/ Livestock/ maize/ bulrush millet/ cotton/ livestock. Other crops are: oil seeds and rice. Cotton/maize (other crops involved: sweet potato, sorghum and groundnut). Pastoralist/agropastoralist (with shifting cultivation of sorghum). Irrigation: traditional schemes operating with upgraded ones e.g. Lumuma. Major pests: any worms, locusts, rodents, large grain borer. Sources of seed: own saved and from stockists. Fertilizers recommended but used in small quantities.","Millet, pearl",Pennisetum glaucum (L.) R. Br.,Poaceae,"Millet, bajra;Millet, bulrush",,01/12,31/12,3-5,kg/ha,null-null,87-100 days,27/02,15/04,
United Republic of Tanzania ,Central Plateaux (Plains),"Dodoma: Dodoma rural, Kondoa, Chamwino, Mpwapwa, Manyoni, and Bahi.Singida Singida rural, and Iramba. Manyara: Babati, Hanang and Mbulu. Mbeya: Chunya. Arusha: Karatu. Shinyanga: Bukombe, Kahama, Maswa, Shinyanga rural and Meatu. Tabora: Sikonge, Igunga, ","Main crops: sorghum, millets, groundnuts, sunflower, sweet potato, cassava, maize (early maturing and medium term), pigeon pea, hyacinth bean, passion fruit, cotton, sisal, castor, simsim, tea, coffee, Irish potatoes, common beans, grasses and legumes for livestock, grapes, rice, vegetables. Main farming/cropping system: sorghum/bulrush/millet/ Livestock/ maize/ bulrush millet/ cotton/ livestock. Other crops are: oil seeds and rice. Cotton/maize (other crops involved: sweet potato, sorghum and groundnut). Pastoralist/agropastoralist (with shifting cultivation of sorghum). Irrigation: traditional schemes operating with upgraded ones e.g. Lumuma. Major pests: any worms, locusts, rodents, large grain borer. Sources of seed: own saved and from stockists. Fertilizers recommended but used in small quantities.",Okra,Abelmoschus esculentus (L.) Moench,Malvaceae,Lady's-fingers,,01/12,31/12,4.1,kg/ha,null-null,50-65 days,20/01,15/03,
United Republic of Tanzania ,Central Plateaux (Plains),"Dodoma: Dodoma rural, Kondoa, Chamwino, Mpwapwa, Manyoni, and Bahi.Singida Singida rural, and Iramba. Manyara: Babati, Hanang and Mbulu. Mbeya: Chunya. Arusha: Karatu. Shinyanga: Bukombe, Kahama, Maswa, Shinyanga rural and Meatu. Tabora: Sikonge, Igunga, ","Main crops: sorghum, millets, groundnuts, sunflower, sweet potato, cassava, maize (early maturing and medium term), pigeon pea, hyacinth bean, passion fruit, cotton, sisal, castor, simsim, tea, coffee, Irish potatoes, common beans, grasses and legumes for livestock, grapes, rice, vegetables. Main farming/cropping system: sorghum/bulrush/millet/ Livestock/ maize/ bulrush millet/ cotton/ livestock. Other crops are: oil seeds and rice. Cotton/maize (other crops involved: sweet potato, sorghum and groundnut). Pastoralist/agropastoralist (with shifting cultivation of sorghum). Irrigation: traditional schemes operating with upgraded ones e.g. Lumuma. Major pests: any worms, locusts, rodents, large grain borer. Sources of seed: own saved and from stockists. Fertilizers recommended but used in small quantities.",Onion,Allium cepa L.,Alliaceae,,,01/02,30/04,3-3.5,kg/ha,null-null,135-165 days,15/06,15/10,
United Republic of Tanzania ,Central Plateaux (Plains),"Dodoma: Dodoma rural, Kondoa, Chamwino, Mpwapwa, Manyoni, and Bahi.Singida Singida rural, and Iramba. Manyara: Babati, Hanang and Mbulu. Mbeya: Chunya. Arusha: Karatu. Shinyanga: Bukombe, Kahama, Maswa, Shinyanga rural and Meatu. Tabora: Sikonge, Igunga, ","Main crops: sorghum, millets, groundnuts, sunflower, sweet potato, cassava, maize (early maturing and medium term), pigeon pea, hyacinth bean, passion fruit, cotton, sisal, castor, simsim, tea, coffee, Irish potatoes, common beans, grasses and legumes for livestock, grapes, rice, vegetables. Main farming/cropping system: sorghum/bulrush/millet/ Livestock/ maize/ bulrush millet/ cotton/ livestock. Other crops are: oil seeds and rice. Cotton/maize (other crops involved: sweet potato, sorghum and groundnut). Pastoralist/agropastoralist (with shifting cultivation of sorghum). Irrigation: traditional schemes operating with upgraded ones e.g. Lumuma. Major pests: any worms, locusts, rodents, large grain borer. Sources of seed: own saved and from stockists. Fertilizers recommended but used in small quantities.",Pigeon pea,Cajanus cajan (L.) Millsp.,Fabaceae,Cajan pea;Red gram,,01/03,30/09,13,kg/ha,null-null,100-203 days,10/06,25/04,
