Country,Agro-ecological zones,Administrative areas,Agricultural practices,Crop,Scientific name,Botanical family,Other names,Additional Information,Planting period - onset,Planting period - end,Sowing / Planting rate,Sowing/Planting rate unit,Preferred sowing/planting period,Length of the cropping cycle,Harvesting period - onset,Harvesting period - end,Comments
Algeria,Centre and East High Plains,"Medea, Bordj-Bouarreridj, Sétif, Batna, Khenchela, Oum el Bouaghi, M'sila",Cereals cultivation and grazed fallow,Barley,Hordeum vulgare L.,Poaceae,,,01/10,15/11,100,kg/ha,null-null,120-150 days,10/06,10/07,
Algeria,Centre and East High Plains,"Medea, Bordj-Bouarreridj, Sétif, Batna, Khenchela, Oum el Bouaghi, M'sila",Cereals cultivation and grazed fallow,Oats,Avena sativa L.,Poaceae,,,01/10,15/11,100,kg/ha,null-null,120-150 days,10/06,10/07,
Algeria,Centre and East High Plains,"Medea, Bordj-Bouarreridj, Sétif, Batna, Khenchela, Oum el Bouaghi, M'sila",Cereals cultivation and grazed fallow,Triticale,xTriticosecale spp.,Poaceae,,,01/11,10/11,110,kg/ha,null-null,120-150 days,20/06,30/07,
Algeria,Centre and East High Plains,"Medea, Bordj-Bouarreridj, Sétif, Batna, Khenchela, Oum el Bouaghi, M'sila",Cereals cultivation and grazed fallow,"Wheat, common",Triticum aestivum L.,Poaceae,"Wheat, bread",,01/11,10/11,110,kg/ha,null-null,200-220 days,20/06,30/07,
Algeria,Centre and East High Plains,"Medea, Bordj-Bouarreridj, Sétif, Batna, Khenchela, Oum el Bouaghi, M'sila",Cereals cultivation and grazed fallow,"Wheat, durum",Triticum turgidum L. subsp. durum,Poaceae,,,10/11,20/01,120,kg/ha,null-null,200-220 days,20/06,30/07,
Algeria,Centre and East Littoral,"Blida, Boumerdes, Alger, Bejaia, Skikda,  annaba, El Tarf- Jijel-Tipaza",Irrigated or rainfed vegetable cultivation. Rainfed cereal cultivation. Biennial rotation (cereal-fodder),Barley,Hordeum vulgare L.,Poaceae,,,01/10,15/11,110,kg/ha,null-null,120-150 days,01/06,30/06,
Algeria,Centre and East Littoral,"Blida, Boumerdes, Alger, Bejaia, Skikda,  annaba, El Tarf- Jijel-Tipaza",Irrigated or rainfed vegetable cultivation. Rainfed cereal cultivation. Biennial rotation (cereal-fodder),Fennel ,Foeniculum vulgare L.,Apiaceae,,,01/07,30/09,2.5-3,kg/ha,null-null,80-110 days,01/12,28/02,
Algeria,Centre and East Littoral,"Blida, Boumerdes, Alger, Bejaia, Skikda,  annaba, El Tarf- Jijel-Tipaza",Irrigated or rainfed vegetable cultivation. Rainfed cereal cultivation. Biennial rotation (cereal-fodder),Maize,Zea mays L.,Poaceae,Corn,,01/03,30/04,20-22,kg/ha,null-null,180-220 days,01/08,30/09,
Algeria,Centre and East Littoral,"Blida, Boumerdes, Alger, Bejaia, Skikda,  annaba, El Tarf- Jijel-Tipaza",Irrigated or rainfed vegetable cultivation. Rainfed cereal cultivation. Biennial rotation (cereal-fodder),Oats,Avena sativa L.,Poaceae,,,01/10,15/11,110,kg/ha,null-null,120-150 days,01/06,30/06,
Algeria,Centre and East Littoral,"Blida, Boumerdes, Alger, Bejaia, Skikda,  annaba, El Tarf- Jijel-Tipaza",Irrigated or rainfed vegetable cultivation. Rainfed cereal cultivation. Biennial rotation (cereal-fodder),Sorghum,Sorghum bicolor (L.) Moench,Poaceae,,,01/03,30/04,18-20,kg/ha,null-null,120-150 days,01/07,31/08,
