Country,Agro-ecological zones,Administrative areas,Agricultural practices,Crop,Scientific name,Botanical family,Other names,Additional Information,Planting period - onset,Planting period - end,Sowing / Planting rate,Sowing/Planting rate unit,Preferred sowing/planting period,Length of the cropping cycle,Harvesting period - onset,Harvesting period - end,Comments
Benin,Barre Land Zone,"Municipalities: Allada, Zè, Tori-Bossito, Kpomassè, Djakotomè, Klouékanmè, Bopa, Dogbo, Houéyogbé, Sakété, ifangni Avrankou, Adjara, Akpro-missérété, Porto-Novo, Agbangnizou, Abomey , Bohicon, Ouinhi,","Main crops: cassava, sweetpotato, taro, maize, rice, sorghum, groundnut, cowpea, angole pea, soybean, dohi, Bambara groundnut, goussi, tomato, pepper, okra, oil palm.",Fonio,Digitaria exilis (Kippist) Stapf,Poaceae,,,15/05,30/06,20-30,kg/ha,null-null,100 days,01/09,15/10,
Benin,Barre Land Zone,"Municipalities: Allada, Zè, Tori-Bossito, Kpomassè, Djakotomè, Klouékanmè, Bopa, Dogbo, Houéyogbé, Sakété, ifangni Avrankou, Adjara, Akpro-missérété, Porto-Novo, Agbangnizou, Abomey , Bohicon, Ouinhi,","Main crops: cassava, sweetpotato, taro, maize, rice, sorghum, groundnut, cowpea, angole pea, soybean, dohi, Bambara groundnut, goussi, tomato, pepper, okra, oil palm.",Hyacinth bean,Dolichos lablab L.,Fabaceae,,,15/03,30/04,15-20,kg/ha,null-null,90 days,25/06,30/08,
Benin,Barre Land Zone,"Municipalities: Allada, Zè, Tori-Bossito, Kpomassè, Djakotomè, Klouékanmè, Bopa, Dogbo, Houéyogbé, Sakété, ifangni Avrankou, Adjara, Akpro-missérété, Porto-Novo, Agbangnizou, Abomey , Bohicon, Ouinhi,","Main crops: cassava, sweetpotato, taro, maize, rice, sorghum, groundnut, cowpea, angole pea, soybean, dohi, Bambara groundnut, goussi, tomato, pepper, okra, oil palm.",Maize,Zea mays L.,Poaceae,Corn,First season,15/03,20/04,15-20,kg/ha,null-null,90 days,25/06,31/07,
Benin,Barre Land Zone,"Municipalities: Allada, Zè, Tori-Bossito, Kpomassè, Djakotomè, Klouékanmè, Bopa, Dogbo, Houéyogbé, Sakété, ifangni Avrankou, Adjara, Akpro-missérété, Porto-Novo, Agbangnizou, Abomey , Bohicon, Ouinhi,","Main crops: cassava, sweetpotato, taro, maize, rice, sorghum, groundnut, cowpea, angole pea, soybean, dohi, Bambara groundnut, goussi, tomato, pepper, okra, oil palm.",Maize,Zea mays L.,Poaceae,Corn,Second season,01/08,31/08,15-20,kg/ha,null-null,90 days,10/11,10/12,
Benin,Barre Land Zone,"Municipalities: Allada, Zè, Tori-Bossito, Kpomassè, Djakotomè, Klouékanmè, Bopa, Dogbo, Houéyogbé, Sakété, ifangni Avrankou, Adjara, Akpro-missérété, Porto-Novo, Agbangnizou, Abomey , Bohicon, Ouinhi,","Main crops: cassava, sweetpotato, taro, maize, rice, sorghum, groundnut, cowpea, angole pea, soybean, dohi, Bambara groundnut, goussi, tomato, pepper, okra, oil palm.","Millet, foxtail",Setaria italica (L.) P. Beauv.,Poaceae,,,20/05,30/06,5-8,kg/ha,null-null,60-150 days,01/08,20/11,
Benin,Barre Land Zone,"Municipalities: Allada, Zè, Tori-Bossito, Kpomassè, Djakotomè, Klouékanmè, Bopa, Dogbo, Houéyogbé, Sakété, ifangni Avrankou, Adjara, Akpro-missérété, Porto-Novo, Agbangnizou, Abomey , Bohicon, Ouinhi,","Main crops: cassava, sweetpotato, taro, maize, rice, sorghum, groundnut, cowpea, angole pea, soybean, dohi, Bambara groundnut, goussi, tomato, pepper, okra, oil palm.","Millet, pearl",Pennisetum glaucum (L.) R. Br.,Poaceae,"Millet, bajra;Millet, bulrush",,20/05,30/06,5-8,kg/ha,null-null,60-150 days,01/08,20/11,
Benin,Barre Land Zone,"Municipalities: Allada, Zè, Tori-Bossito, Kpomassè, Djakotomè, Klouékanmè, Bopa, Dogbo, Houéyogbé, Sakété, ifangni Avrankou, Adjara, Akpro-missérété, Porto-Novo, Agbangnizou, Abomey , Bohicon, Ouinhi,","Main crops: cassava, sweetpotato, taro, maize, rice, sorghum, groundnut, cowpea, angole pea, soybean, dohi, Bambara groundnut, goussi, tomato, pepper, okra, oil palm.",Rice,Oryza sativa L.,Poaceae,,,10/06,20/07,70-80,kg/ha,null-null,100-120 days,20/10,30/11,
Benin,Barre Land Zone,"Municipalities: Allada, Zè, Tori-Bossito, Kpomassè, Djakotomè, Klouékanmè, Bopa, Dogbo, Houéyogbé, Sakété, ifangni Avrankou, Adjara, Akpro-missérété, Porto-Novo, Agbangnizou, Abomey , Bohicon, Ouinhi,","Main crops: cassava, sweetpotato, taro, maize, rice, sorghum, groundnut, cowpea, angole pea, soybean, dohi, Bambara groundnut, goussi, tomato, pepper, okra, oil palm.",Sorghum,Sorghum bicolor (L.) Moench,Poaceae,,,20/05,30/06,5-8,kg/ha,null-null,90-160 days,01/09,20/11,
Benin,Cotton-Producing Zone of the North,"Municipalities:  Ségbana,  Banikoara,  Gogounou,  Kérou  Kouandé. Kandi South","Main crops: maize, sorghum, rice, yam, cassava, sweetpotato, cowpea, groundnut, soybean, tomato, pepper, okra. Maize cultivation is mostly fertilized.",Fonio,Digitaria exilis (Kippist) Stapf,Poaceae,,,15/05,30/06,20-30,kg/ha,null-null,100 days,01/09,15/10,
Benin,Cotton-Producing Zone of the North,"Municipalities:  Ségbana,  Banikoara,  Gogounou,  Kérou  Kouandé. Kandi South","Main crops: maize, sorghum, rice, yam, cassava, sweetpotato, cowpea, groundnut, soybean, tomato, pepper, okra. Maize cultivation is mostly fertilized.",Maize,Zea mays L.,Poaceae,Corn,,01/06,15/07,15-20,kg/ha,null-null,90-120 days,15/09,30/10,
